category,log
authentication-failed,[Thu Dec 17 02:47:06 1992] [error] [client 42.101.106.249] user barnesandrew: authentication failure for "/different/paper.mov/responsibility": Password Mismatch
authentication-failed,[Sun Mar 05 13:11:21 2017] [error] [client 15.184.186.81] user matthewcox: authentication failure for "/phone/politics.ods/you": Password Mismatch
authentication-failed,[Tue Oct 06 14:38:18 1987] [error] [client 178.253.7.208] user twatson: authentication failure for "/forget/tell.xls/eye": Password Mismatch
authentication-failed,[Fri Mar 23 00:47:56 1979] [error] [client 91.192.239.161] user angeladavis: authentication failure for "/west/local.tiff/every": Password Mismatch
authentication-failed,[Fri Jun 03 16:48:40 1994] [error] [client 174.56.150.234] user shirley45: authentication failure for "/no/conference.png/wrong": Password Mismatch
authentication-failed,[Sat Sep 24 10:14:28 2005] [error] [client 216.202.142.48] user sharonduncan: authentication failure for "/figure/myself.flac/agent": Password Mismatch
authentication-failed,[Sun Sep 21 16:15:05 1980] [error] [client 214.232.199.223] user parkerbryan: authentication failure for "/car/blue.bmp/good": Password Mismatch
authentication-failed,[Thu Oct 22 12:00:08 2020] [error] [client 104.12.144.206] user susan54: authentication failure for "/recently/heart.mov/party": Password Mismatch
authentication-failed,[Sat Jun 13 08:14:17 2020] [error] [client 145.26.113.191] user david29: authentication failure for "/daughter/wide.jpeg/organization": Password Mismatch
authentication-failed,[Thu Sep 15 15:59:36 2016] [error] [client 24.23.219.174] user garciajennifer: authentication failure for "/because/institution.webm/inside": Password Mismatch
authentication-failed,[Tue Oct 10 06:18:41 1972] [error] [client 128.98.165.119] user laurengarcia: authentication failure for "/maintain/support.avi/something": Password Mismatch
authentication-failed,[Thu Mar 01 04:39:31 2007] [error] [client 26.78.102.61] user matthewweber: authentication failure for "/federal/each.tiff/sort": Password Mismatch
authentication-failed,[Fri Jun 17 20:19:29 1994] [error] [client 168.224.8.66] user lewisricky: authentication failure for "/baby/phone.mp3/consider": Password Mismatch
authentication-failed,[Mon Jun 29 19:23:04 1992] [error] [client 2.199.166.168] user chad56: authentication failure for "/pull/red.mov/find": Password Mismatch
authentication-failed,[Tue Nov 18 05:42:06 2003] [error] [client 66.218.198.45] user shouse: authentication failure for "/among/law.xlsx/mission": Password Mismatch
authentication-failed,[Thu Mar 25 16:28:10 1976] [error] [client 5.227.157.158] user zluna: authentication failure for "/dream/effect.jpg/sure": Password Mismatch
authentication-failed,[Thu Oct 07 23:41:38 2004] [error] [client 134.208.232.207] user cobrien: authentication failure for "/half/cold.html/group": Password Mismatch
authentication-failed,[Sun Sep 09 08:34:54 1973] [error] [client 106.131.68.61] user jeremy45: authentication failure for "/see/population.wav/allow": Password Mismatch
authentication-failed,[Wed Mar 20 00:05:41 2024] [error] [client 51.148.131.90] user qfaulkner: authentication failure for "/trip/establish.wav/institution": Password Mismatch
authentication-failed,[Mon Jun 14 06:56:11 1999] [error] [client 180.41.153.69] user robertbarnett: authentication failure for "/we/financial.mov/range": Password Mismatch
authentication-failed,[Sat Feb 22 23:13:16 1997] [error] [client 200.82.111.5] user plopez: authentication failure for "/plan/person.html/those": Password Mismatch
authentication-failed,[Mon May 29 23:21:53 2023] [error] [client 173.224.208.135] user ronaldwhite: authentication failure for "/ability/remain.mov/movie": Password Mismatch
authentication-failed,[Fri Jul 09 17:23:42 2010] [error] [client 39.17.45.187] user robertunderwood: authentication failure for "/require/red.json/throw": Password Mismatch
authentication-failed,[Thu Oct 31 09:01:53 2013] [error] [client 136.242.254.245] user sarah43: authentication failure for "/drop/hard.pdf/hold": Password Mismatch
authentication-failed,[Wed Mar 06 22:40:53 1996] [error] [client 132.26.156.151] user bryantlouis: authentication failure for "/image/give.css/today": Password Mismatch
authentication-failed,[Tue Apr 04 09:07:07 2000] [error] [client 3.61.140.73] user goldentami: authentication failure for "/reach/require.csv/pretty": Password Mismatch
authentication-failed,[Wed Feb 18 17:06:16 2004] [error] [client 104.220.84.174] user fsmith: authentication failure for "/executive/skin.wav/join": Password Mismatch
authentication-failed,[Thu Dec 07 01:23:58 2000] [error] [client 169.146.254.67] user andrew70: authentication failure for "/situation/carry.mp4/own": Password Mismatch
authentication-failed,[Tue Sep 20 17:35:26 1977] [error] [client 33.144.113.78] user sullivangregg: authentication failure for "/more/move.avi/property": Password Mismatch
authentication-failed,[Mon Jun 03 23:59:43 1985] [error] [client 67.112.231.128] user david82: authentication failure for "/story/just.wav/since": Password Mismatch
authentication-failed,[Mon Nov 08 14:34:22 2021] [error] [client 196.63.219.27] user butlerchristopher: authentication failure for "/window/goal.doc/message": Password Mismatch
authentication-failed,[Tue Jun 06 17:58:01 2000] [error] [client 107.5.56.68] user jennifer35: authentication failure for "/religious/or.js/will": Password Mismatch
authentication-failed,[Wed May 08 03:00:57 2024] [error] [client 166.163.208.156] user jimeneztyler: authentication failure for "/early/name.csv/decade": Password Mismatch
authentication-failed,[Mon Sep 13 12:14:18 1976] [error] [client 141.205.178.18] user brianhaley: authentication failure for "/have/finish.gif/company": Password Mismatch
authentication-failed,[Tue Feb 08 23:12:33 1972] [error] [client 152.2.113.121] user scotthicks: authentication failure for "/teach/choice.png/effect": Password Mismatch
authentication-failed,[Fri Oct 22 02:50:14 1971] [error] [client 53.96.2.1] user nicole82: authentication failure for "/consumer/thousand.mp4/simple": Password Mismatch
authentication-failed,[Sat Aug 22 07:38:22 1987] [error] [client 36.87.232.202] user rodriguezbonnie: authentication failure for "/democratic/night.bmp/ago": Password Mismatch
